waterbody_name,fish_species_present_at_waterbody,comments,special_regulations_on_waterbody,county,types_of_public_access,public_fishing_access_owner,waterbody_information,longitude,latitude,location,location_2
Cayuta Creek,Brown Trout* - Sunfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.61196356,42.22733763,POINT(-76.611963564 42.227337629),POINT(-76.611963564 42.227337629)
West Branch Owego Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31498.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement - Potato Hill State Forest (DEC),http://www.dec.ny.gov/outdoor/71802.html,-76.24418307,42.34236493,POINT(-76.244183074 42.342364928),POINT(-76.244183074 42.342364928)
Springwater Creek,Brown Trout - Rainbow Trout,City of Rochester permit required north of Kellogg Rd (585-428-6680).,http://www.dec.ny.gov/outdoor/31505.html,Livingston,Shore Fishing - Public Fishing Rights,Springwater Town Park - Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsprngwtck.pdf,-77.60234146,42.63465191,POINT(-77.602341462 42.634651912),POINT(-77.602341462 42.634651912)
Irondequoit Creek,Brown Trout* - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing,Ellison County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrirondiqck.pdf,-77.52133133,43.15061015,POINT(-77.521331332 43.150610148),POINT(-77.521331332 43.150610148)
Black Creek,Northern Pike,None,,Monroe,Shore Fishing - Boat Launch (Hand Launch),Black Creek Waterway Access (DEC),http://www.dec.ny.gov/outdoor/23886.html,-77.68081927,43.09473159,POINT(-77.680819269 43.094731591),POINT(-77.680819269 43.094731591)
Cryder Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/crydercreek.pdf,-77.77401942,42.03629822,POINT(-77.774019415 42.036298217),POINT(-77.774019415 42.036298217)
Oatka Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31448.html,Genesee,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.94478203,43.01387474,POINT(-77.944782026 43.013874737),POINT(-77.944782026 43.013874737)
Mill Creek,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr8.pdf,-77.61225452,42.54355596,POINT(-77.612254518 42.543555961),POINT(-77.612254518 42.543555961)
Sandy Creek,Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandycreek.pdf,-77.96462072,43.29709023,POINT(-77.964620723 43.297090234),POINT(-77.964620723 43.297090234)
Oak Orchard Creek,Atlantic Salmon - Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,Privately owned campground available.,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Footpath,DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.23945374,43.33739277,POINT(-78.239453738 43.337392769),POINT(-78.239453738 43.337392769)
Marsh Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.13425177,43.32702281,POINT(-78.134251767 43.327022811),POINT(-78.134251767 43.327022811)
Johnson Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrjohnsonck.pdf,-78.35887601,43.33533277,POINT(-78.358876011 43.335332766),POINT(-78.358876011 43.335332766)
